[2025-06-15T19:13:45.267Z] 📂 Starting file processing...
[2025-06-15T19:13:45.267Z] 🔌 Connecting to database...
[2025-06-15T19:13:45.325Z] ✅ Database connection established.
[2025-06-15T19:13:45.327Z] 🔍 Processing line 1
[2025-06-15T19:13:45.358Z] ✅ Inserted: Melyna Fadel
[2025-06-15T19:13:45.358Z] 🔍 Processing line 2
[2025-06-15T19:13:45.366Z] ✅ Inserted: Anissa Fritsch
[2025-06-15T19:13:45.366Z] 🔍 Processing line 3
[2025-06-15T19:13:45.373Z] ✅ Inserted: Lysanne Simonis
[2025-06-15T19:13:45.374Z] 🔍 Processing line 4
[2025-06-15T19:13:45.380Z] ✅ Inserted: Kennedi Bartoletti-Collier
[2025-06-15T19:13:45.381Z] 🔍 Processing line 5
[2025-06-15T19:13:45.387Z] ✅ Inserted: Rose Bernier
[2025-06-15T19:13:45.387Z] 🔍 Processing line 6
[2025-06-15T19:13:45.396Z] ✅ Inserted: Donavon Shields
[2025-06-15T19:13:45.396Z] 🔍 Processing line 7
[2025-06-15T19:13:45.401Z] ✅ Inserted: Hal Stokes
[2025-06-15T19:13:45.402Z] 🔍 Processing line 8
[2025-06-15T19:13:45.406Z] ✅ Inserted: Krystel Hagenes
[2025-06-15T19:13:45.406Z] 🔍 Processing line 9
[2025-06-15T19:13:45.412Z] ✅ Inserted: Fiona Cole
[2025-06-15T19:13:45.412Z] 🔍 Processing line 10
[2025-06-15T19:13:45.418Z] ✅ Inserted: Eulalia Miller
[2025-06-15T19:13:45.418Z] 🔍 Processing line 11
[2025-06-15T19:13:45.425Z] ✅ Inserted: Rudolph Konopelski
[2025-06-15T19:13:45.425Z] 🔍 Processing line 12
[2025-06-15T19:13:45.432Z] ✅ Inserted: odit ulciscor vulnus tepesco aegrotatio advoco usitas tubineus canonicus solum tracto comptus adamo 
[2025-06-15T19:13:45.432Z] 🔍 Processing line 13
[2025-06-15T19:13:45.435Z] ✅ Inserted: Kali Gerhold
[2025-06-15T19:13:45.435Z] 🔍 Processing line 14
[2025-06-15T19:13:45.443Z] ✅ Inserted: Soledad Gulgowski
[2025-06-15T19:13:45.443Z] 🔍 Processing line 15
[2025-06-15T19:13:45.447Z] ✅ Inserted: Norwood Steuber
[2025-06-15T19:13:45.447Z] 🔍 Processing line 16
[2025-06-15T19:13:45.453Z] ✅ Inserted: Shany Hickle-Balistreri
[2025-06-15T19:13:45.453Z] 🔍 Processing line 17
[2025-06-15T19:13:45.459Z] ✅ Inserted: Clementine Bins
[2025-06-15T19:13:45.459Z] 🔍 Processing line 18
[2025-06-15T19:13:45.468Z] ✅ Inserted: Kari Gottlieb
[2025-06-15T19:13:45.468Z] 🔍 Processing line 19
[2025-06-15T19:13:45.475Z] ✅ Inserted: Martine Herman
[2025-06-15T19:13:45.475Z] 🔍 Processing line 20
[2025-06-15T19:13:45.481Z] ✅ Inserted: Kaleigh Terry
[2025-06-15T19:13:45.481Z] 🔍 Processing line 21
[2025-06-15T19:13:45.485Z] ✅ Inserted: Adolfo McLaughlin
[2025-06-15T19:13:45.485Z] 🔍 Processing line 22
[2025-06-15T19:13:45.491Z] 🔍 Processing line 23
[2025-06-15T19:13:45.494Z] ✅ Inserted: Dana Effertz
[2025-06-15T19:13:45.494Z] 🔍 Processing line 24
[2025-06-15T19:13:45.499Z] ✅ Inserted: Jeanie Huel-Rowe
[2025-06-15T19:13:45.499Z] 🔍 Processing line 25
[2025-06-15T19:13:45.503Z] ✅ Inserted: Julianne Jacobs
[2025-06-15T19:13:45.503Z] 🔍 Processing line 26
[2025-06-15T19:13:45.507Z] ✅ Inserted: Boyd McGlynn
[2025-06-15T19:13:45.507Z] 🔍 Processing line 27
[2025-06-15T19:13:45.512Z] ✅ Inserted: Electa Gerlach-Wisoky
[2025-06-15T19:13:45.512Z] 🔍 Processing line 28
[2025-06-15T19:13:45.516Z] ✅ Inserted: Tracey Ullrich
[2025-06-15T19:13:45.516Z] 🔍 Processing line 29
[2025-06-15T19:13:45.521Z] ✅ Inserted: Adolphus Tremblay
[2025-06-15T19:13:45.521Z] 🔍 Processing line 30
[2025-06-15T19:13:45.524Z] ✅ Inserted: Kristopher Pouros
[2025-06-15T19:13:45.524Z] 🔍 Processing line 31
[2025-06-15T19:13:45.529Z] ✅ Inserted: Jannie Ward
[2025-06-15T19:13:45.529Z] 🔍 Processing line 32
[2025-06-15T19:13:45.532Z] ✅ Inserted: Milton Kilback
[2025-06-15T19:13:45.532Z] 🔍 Processing line 33
[2025-06-15T19:13:45.536Z] ✅ Inserted: Raheem Morar
[2025-06-15T19:13:45.536Z] 🔍 Processing line 34
[2025-06-15T19:13:45.542Z] ✅ Inserted: Dee Rohan
[2025-06-15T19:13:45.542Z] 🔍 Processing line 35
[2025-06-15T19:13:45.545Z] ✅ Inserted: Shaun Herman
[2025-06-15T19:13:45.545Z] 🔍 Processing line 36
[2025-06-15T19:13:45.548Z] ✅ Inserted: Shakira Friesen
[2025-06-15T19:13:45.548Z] 🔍 Processing line 37
[2025-06-15T19:13:45.550Z] ✅ Inserted: Elmo Bergnaum
[2025-06-15T19:13:45.550Z] 🔍 Processing line 38
[2025-06-15T19:13:45.556Z] ✅ Inserted: Douglas Sauer
[2025-06-15T19:13:45.556Z] 🔍 Processing line 39
[2025-06-15T19:13:45.560Z] ✅ Inserted: Wilber Gibson
[2025-06-15T19:13:45.560Z] 🔍 Processing line 40
[2025-06-15T19:13:45.564Z] ✅ Inserted: Penelope O'Kon
[2025-06-15T19:13:45.564Z] 🔍 Processing line 41
[2025-06-15T19:13:45.567Z] 🔍 Processing line 42
[2025-06-15T19:13:45.572Z] ✅ Inserted: Alexzander Davis
[2025-06-15T19:13:45.572Z] 🔍 Processing line 43
[2025-06-15T19:13:45.575Z] ✅ Inserted: Allan Bernhard
[2025-06-15T19:13:45.575Z] 🔍 Processing line 44
[2025-06-15T19:13:45.578Z] ✅ Inserted: Lewis Schaden
[2025-06-15T19:13:45.578Z] 🔍 Processing line 45
